strip_label,settlement,source_screenshot
Bal Month (Jul),18.838,screenshot_01.png
Aug26,18.905,screenshot_01.png
Jul26,18.776,screenshot_01.png
Sep26,18.430,screenshot_01.png
Oct26,17.704,screenshot_01.png
Nov26,17.231,screenshot_01.png
Dec26,17.308,screenshot_01.png
Jan27,16.948,screenshot_01.png
Feb27,16.522,screenshot_01.png
Mar27,15.267,screenshot_01.png
Apr27,13.006,screenshot_01.png
May27,12.140,screenshot_01.png
Jun27,12.110,screenshot_01.png
Jul27,12.336,screenshot_01.png
Aug27,12.386,screenshot_01.png
Sep27,12.333,screenshot_01.png
Oct27,12.247,screenshot_01.png
Nov27,12.386,screenshot_01.png
Dec27,12.677,screenshot_01.png
Jan28,12.742,screenshot_01.png
Feb28,12.366,screenshot_01.png
Mar28,11.515,screenshot_01.png
Apr28,9.830,screenshot_01.png
May28,9.624,screenshot_01.png
Jun28,9.574,screenshot_01.png
Jul28,9.620,screenshot_01.png
Aug28,9.522,screenshot_01.png
Sep28,9.500,screenshot_01.png
Oct28,9.641,screenshot_01.png
Nov28,9.731,screenshot_01.png
Dec28,10.009,screenshot_01.png
Jan29,10.137,screenshot_01.png
Feb29,10.105,screenshot_01.png
Mar29,10.105,screenshot_01.png
Apr29,8.871,screenshot_01.png
May29,8.766,screenshot_01.png
Jun29,8.697,screenshot_01.png
Jul29,8.578,screenshot_01.png
Aug29,8.549,screenshot_01.png
Sep29,8.701,screenshot_01.png
Oct29,8.842,screenshot_01.png
Nov29,8.945,screenshot_01.png
Dec29,9.029,screenshot_01.png
Jan30,9.184,screenshot_01.png
Feb30,9.142,screenshot_01.png
Mar30,9.112,screenshot_01.png
Apr30,8.512,screenshot_01.png
May30,8.388,screenshot_01.png
Jun30,8.263,screenshot_02.png
Jul30,7.881,screenshot_02.png
Aug30,8.026,screenshot_02.png
Sep30,8.276,screenshot_02.png
Oct30,8.615,screenshot_02.png
Nov30,8.903,screenshot_02.png
Dec30,9.069,screenshot_02.png
Jan31,9.046,screenshot_02.png
Feb31,8.988,screenshot_02.png
Mar31,8.906,screenshot_02.png
Apr31,8.501,screenshot_02.png
May31,8.336,screenshot_02.png
Jun31,8.251,screenshot_02.png
Jul31,8.195,screenshot_02.png
Aug31,8.271,screenshot_02.png
Sep31,8.457,screenshot_02.png
Oct31,8.983,screenshot_02.png
Nov31,9.247,screenshot_02.png
Dec31,9.402,screenshot_02.png
Jan32,9.146,screenshot_02.png
Feb32,9.103,screenshot_02.png
Mar32,9.075,screenshot_02.png
Apr32,9.101,screenshot_02.png
May32,8.993,screenshot_02.png
Jun32,8.800,screenshot_02.png
Jul32,8.679,screenshot_02.png
Aug32,8.851,screenshot_02.png
Sep32,9.056,screenshot_02.png
Oct32,9.358,screenshot_02.png
Nov32,9.498,screenshot_02.png
Dec32,9.571,screenshot_02.png
Jan33,9.865,screenshot_02.png
Feb33,9.834,screenshot_02.png
Mar33,9.774,screenshot_02.png
Apr33,9.655,screenshot_02.png
May33,9.496,screenshot_02.png
Jun33,9.372,screenshot_02.png
Jul33,9.279,screenshot_02.png
Aug33,9.455,screenshot_02.png
Sep33,9.612,screenshot_02.png
Oct33,9.845,screenshot_02.png
