strip_label,settlement,source_screenshot
Bal Month (Jul),18.798,screenshot_01.png
Aug26,18.649,screenshot_01.png
Jul26,18.823,screenshot_01.png
Sep26,18.234,screenshot_01.png
Oct26,17.518,screenshot_01.png
Nov26,16.993,screenshot_01.png
Dec26,17.088,screenshot_01.png
Jan27,16.805,screenshot_01.png
Feb27,16.282,screenshot_01.png
Mar27,15.056,screenshot_01.png
Apr27,12.992,screenshot_01.png
May27,12.216,screenshot_01.png
Jun27,12.195,screenshot_01.png
Jul27,12.335,screenshot_01.png
Aug27,12.515,screenshot_01.png
Sep27,12.369,screenshot_01.png
Oct27,12.309,screenshot_01.png
Nov27,12.463,screenshot_01.png
Dec27,12.748,screenshot_01.png
Jan28,12.808,screenshot_01.png
Feb28,12.423,screenshot_01.png
Mar28,11.556,screenshot_01.png
Apr28,9.871,screenshot_01.png
May28,9.669,screenshot_01.png
Jun28,9.618,screenshot_01.png
Jul28,9.691,screenshot_01.png
Aug28,9.594,screenshot_01.png
Sep28,9.579,screenshot_01.png
Oct28,9.688,screenshot_01.png
Nov28,9.795,screenshot_01.png
Dec28,10.083,screenshot_01.png
Jan29,10.181,screenshot_01.png
Feb29,10.232,screenshot_01.png
Mar29,10.203,screenshot_01.png
Apr29,8.942,screenshot_01.png
May29,8.840,screenshot_01.png
Jun29,8.767,screenshot_01.png
Jul29,8.664,screenshot_01.png
Aug29,8.633,screenshot_01.png
Sep29,8.788,screenshot_01.png
Oct29,8.908,screenshot_01.png
Nov29,9.016,screenshot_01.png
Dec29,9.104,screenshot_01.png
Jan30,9.255,screenshot_01.png
Feb30,9.215,screenshot_01.png
Mar30,9.183,screenshot_01.png
Apr30,8.545,screenshot_01.png
May30,8.420,screenshot_01.png
Jun30,8.294,screenshot_01.png
Jul30,7.915,screenshot_01.png
Aug30,8.054,screenshot_01.png
Sep30,8.307,screenshot_01.png
Oct30,8.644,screenshot_02.png
Nov30,8.933,screenshot_02.png
Dec30,9.098,screenshot_02.png
Jan31,9.116,screenshot_02.png
Feb31,9.054,screenshot_02.png
Mar31,8.971,screenshot_02.png
Apr31,8.457,screenshot_02.png
May31,8.293,screenshot_02.png
Jun31,8.208,screenshot_02.png
Jul31,8.152,screenshot_02.png
Aug31,8.229,screenshot_02.png
Sep31,8.415,screenshot_02.png
Oct31,8.989,screenshot_02.png
Nov31,9.257,screenshot_02.png
Dec31,9.412,screenshot_02.png
Jan32,9.085,screenshot_02.png
Feb32,9.042,screenshot_02.png
Mar32,9.013,screenshot_02.png
Apr32,9.039,screenshot_02.png
May32,8.931,screenshot_02.png
Jun32,8.736,screenshot_02.png
Jul32,8.615,screenshot_02.png
Aug32,8.788,screenshot_02.png
Sep32,8.995,screenshot_02.png
Oct32,9.298,screenshot_02.png
Nov32,9.438,screenshot_02.png
Dec32,9.511,screenshot_02.png
Jan33,9.772,screenshot_02.png
Feb33,9.741,screenshot_02.png
Mar33,9.681,screenshot_02.png
Apr33,9.561,screenshot_02.png
May33,9.401,screenshot_02.png
Jun33,9.277,screenshot_02.png
Jul33,9.183,screenshot_02.png
Aug33,9.360,screenshot_02.png
Sep33,9.517,screenshot_02.png
Oct33,9.749,screenshot_02.png
