strip_label,settlement,source_screenshot
Bal Month (Jul),19.250,screenshot_01.png
Aug26,19.147,screenshot_01.png
Jul26,18.992,screenshot_01.png
Sep26,18.800,screenshot_01.png
Oct26,18.057,screenshot_01.png
Nov26,17.549,screenshot_01.png
Dec26,17.583,screenshot_01.png
Jan27,17.195,screenshot_01.png
Feb27,16.695,screenshot_01.png
Mar27,15.383,screenshot_01.png
Apr27,13.143,screenshot_01.png
May27,12.265,screenshot_01.png
Jun27,12.203,screenshot_01.png
Jul27,12.349,screenshot_01.png
Aug27,12.544,screenshot_01.png
Sep27,12.379,screenshot_01.png
Oct27,12.290,screenshot_01.png
Nov27,12.436,screenshot_01.png
Dec27,12.727,screenshot_01.png
Jan28,12.777,screenshot_01.png
Feb28,12.399,screenshot_01.png
Mar28,11.540,screenshot_01.png
Apr28,9.791,screenshot_01.png
May28,9.574,screenshot_01.png
Jun28,9.520,screenshot_01.png
Jul28,9.570,screenshot_01.png
Aug28,9.477,screenshot_01.png
Sep28,9.466,screenshot_01.png
Oct28,9.599,screenshot_01.png
Nov28,9.698,screenshot_01.png
Dec28,9.980,screenshot_01.png
Jan29,10.088,screenshot_01.png
Feb29,10.141,screenshot_01.png
Mar29,10.109,screenshot_01.png
Apr29,8.872,screenshot_01.png
May29,8.767,screenshot_01.png
Jun29,8.697,screenshot_01.png
Jul29,8.593,screenshot_01.png
Aug29,8.562,screenshot_01.png
Sep29,8.713,screenshot_01.png
Oct29,8.839,screenshot_01.png
Nov29,8.942,screenshot_01.png
Dec29,9.027,screenshot_02.png
Jan30,9.179,screenshot_02.png
Feb30,9.137,screenshot_02.png
Mar30,9.108,screenshot_02.png
Apr30,8.486,screenshot_02.png
May30,8.362,screenshot_02.png
Jun30,8.236,screenshot_02.png
Jul30,7.861,screenshot_02.png
Aug30,8.000,screenshot_02.png
Sep30,8.250,screenshot_02.png
Oct30,8.602,screenshot_02.png
Nov30,8.890,screenshot_02.png
Dec30,9.055,screenshot_02.png
Jan31,9.050,screenshot_02.png
Feb31,8.992,screenshot_02.png
Mar31,8.911,screenshot_02.png
Apr31,8.505,screenshot_02.png
May31,8.342,screenshot_02.png
Jun31,8.257,screenshot_02.png
Jul31,8.202,screenshot_02.png
Aug31,8.277,screenshot_02.png
Sep31,8.462,screenshot_02.png
Oct31,8.988,screenshot_02.png
Nov31,9.251,screenshot_02.png
Dec31,9.406,screenshot_02.png
Jan32,9.150,screenshot_02.png
Feb32,9.107,screenshot_02.png
Mar32,9.079,screenshot_02.png
Apr32,9.105,screenshot_02.png
May32,8.997,screenshot_02.png
Jun32,8.804,screenshot_02.png
Jul32,8.684,screenshot_02.png
Aug32,8.855,screenshot_02.png
Sep32,9.060,screenshot_02.png
Oct32,9.361,screenshot_02.png
Nov32,9.501,screenshot_02.png
Dec32,9.574,screenshot_02.png
Jan33,9.834,screenshot_02.png
Feb33,9.803,screenshot_02.png
Mar33,9.743,screenshot_02.png
Apr33,9.624,screenshot_02.png
May33,9.465,screenshot_02.png
