strip_label,settlement,source_screenshot
Bal Month (Jul),18.660,screenshot_01.png
Aug26,18.527,screenshot_01.png
Jul26,18.788,screenshot_01.png
Sep26,18.172,screenshot_01.png
Oct26,17.459,screenshot_01.png
Nov26,16.941,screenshot_01.png
Dec26,17.031,screenshot_01.png
Jan27,16.704,screenshot_01.png
Feb27,16.197,screenshot_01.png
Mar27,14.982,screenshot_01.png
Apr27,12.956,screenshot_01.png
May27,12.165,screenshot_01.png
Jun27,12.147,screenshot_01.png
Jul27,12.311,screenshot_01.png
Aug27,12.501,screenshot_01.png
Sep27,12.322,screenshot_01.png
Oct27,12.266,screenshot_01.png
Nov27,12.414,screenshot_01.png
Dec27,12.711,screenshot_01.png
Jan28,12.762,screenshot_01.png
Feb28,12.391,screenshot_01.png
Mar28,11.524,screenshot_01.png
Apr28,9.811,screenshot_01.png
May28,9.595,screenshot_01.png
Jun28,9.542,screenshot_01.png
Jul28,9.622,screenshot_01.png
Aug28,9.527,screenshot_01.png
Sep28,9.515,screenshot_01.png
Oct28,9.629,screenshot_01.png
Nov28,9.729,screenshot_01.png
Dec28,10.013,screenshot_01.png
Jan29,10.132,screenshot_01.png
Feb29,10.186,screenshot_01.png
Mar29,10.156,screenshot_01.png
Apr29,8.902,screenshot_01.png
May29,8.799,screenshot_01.png
Jun29,8.729,screenshot_01.png
Jul29,8.625,screenshot_01.png
Aug29,8.594,screenshot_01.png
Sep29,8.748,screenshot_01.png
Oct29,8.869,screenshot_01.png
Nov29,8.975,screenshot_01.png
Dec29,9.062,screenshot_01.png
Jan30,9.214,screenshot_01.png
Feb30,9.174,screenshot_02.png
Mar30,9.143,screenshot_02.png
Apr30,8.550,screenshot_02.png
May30,8.426,screenshot_02.png
Jun30,8.300,screenshot_02.png
Jul30,7.925,screenshot_02.png
Aug30,8.064,screenshot_02.png
Sep30,8.317,screenshot_02.png
Oct30,8.606,screenshot_02.png
Nov30,8.894,screenshot_02.png
Dec30,9.060,screenshot_02.png
Jan31,9.078,screenshot_02.png
Feb31,9.018,screenshot_02.png
Mar31,8.937,screenshot_02.png
Apr31,8.510,screenshot_02.png
May31,8.347,screenshot_02.png
Jun31,8.264,screenshot_02.png
Jul31,8.209,screenshot_02.png
Aug31,8.284,screenshot_02.png
Sep31,8.470,screenshot_02.png
Oct31,9.053,screenshot_02.png
Nov31,9.320,screenshot_02.png
Dec31,9.475,screenshot_02.png
Jan32,9.221,screenshot_02.png
Feb32,9.179,screenshot_02.png
Mar32,9.151,screenshot_02.png
Apr32,9.104,screenshot_02.png
May32,8.996,screenshot_02.png
Jun32,8.802,screenshot_02.png
Jul32,8.682,screenshot_02.png
Aug32,8.854,screenshot_02.png
Sep32,9.061,screenshot_02.png
Oct32,9.362,screenshot_02.png
Nov32,9.502,screenshot_02.png
Dec32,9.576,screenshot_02.png
Jan33,9.836,screenshot_02.png
Feb33,9.805,screenshot_02.png
Mar33,9.745,screenshot_02.png
Apr33,9.626,screenshot_02.png
May33,9.467,screenshot_02.png
Jun33,9.343,screenshot_02.png
Jul33,9.250,screenshot_02.png
Aug33,9.426,screenshot_02.png
Sep33,9.583,screenshot_02.png
Oct33,9.815,screenshot_02.png
